txn_id,user_id_p,merchant,amount_p,currency_p,created_at,settled_at,status_p,dup_flag_p,entry_id,external_id,user_id_l,amount_l,currency_l,posting_date,account,status_l,dup_flag_l,_merge,match_flag
,,,,,,,,,L6557805,EXTT100065,U0031,495.08,USD,2025-05-29,Cash,posted,False,right_only,False
,,,,,,,,,L3250397,EXTT100117,U0079,462.7,USD,2025-06-06,Cash,posted,False,right_only,False
,,,,,,,,,L8840130,EXTT100139,U0084,353.52,USD,2025-06-10,Fees,posted,False,right_only,False
,,,,,,,,,L1281854,EXTT100165,U0183,493.33,USD,2025-06-23,Fees,posted,False,right_only,False
,,,,,,,,,L7472973,EXTT100196,U0042,176.12,USD,2025-05-15,Clearing,posted,False,right_only,False
,,,,,,,,,L9274437,EXTT100208,U0186,456.81,USD,2025-05-25,Clearing,posted,False,right_only,False
,,,,,,,,,L7303816,EXTT100214,U0031,99.39,USD,2025-05-30,Cash,posted,False,right_only,False
,,,,,,,,,L3361216,EXTT100218,U0054,377.86,USD,2025-05-13,Clearing,posted,False,right_only,False
,,,,,,,,,L7296495,EXTT100224,U0181,206.16,USD,2025-06-18,Clearing,posted,False,right_only,False
,,,,,,,,,L2315823,EXTT100235,U0074,457.58,USD,2025-06-11,Cash,posted,False,right_only,False
,,,,,,,,,L1070463,EXTT100252,U0046,273.24,USD,2025-05-21,Cash,posted,False,right_only,False
,,,,,,,,,L9027522,EXTT100255,U0025,26.86,USD,2025-05-07,Fees,posted,False,right_only,False
,,,,,,,,,L9503197,EXTT100284,U0123,7.52,USD,2025-06-18,Fees,posted,False,right_only,False
,,,,,,,,,L1268449,EXTT100349,U0004,296.26,USD,2025-06-26,Fees,posted,False,right_only,False
,,,,,,,,,L1576515,EXTT100379,U0071,424.35,USD,2025-06-23,Cash,posted,False,right_only,False
,,,,,,,,,L5788109,EXTT100423,U0066,109.93,USD,2025-05-11,Clearing,posted,False,right_only,False
,,,,,,,,,L2504900,EXTT100432,U0030,284.4,USD,2025-05-10,Cash,posted,False,right_only,False
,,,,,,,,,L6038460,EXTT100449,U0033,448.08,USD,2025-06-21,Clearing,posted,False,right_only,False
,,,,,,,,,L8316359,EXTT100485,U0013,37.1,USD,2025-06-29,Clearing,posted,False,right_only,False
T100001,U0121,WAYNE ENTERPRISES,54.49,USD,2025-05-24,2025-05-24,settled,False,L5024733,T100001,U0121,54.49,USD,2025-05-29,Clearing,posted,False,both,False
T100008,U0072,RELAY,11.57,USD,2025-06-29,2025-06-30,missing_test_only,False,,,,,,,,,,left_only,False
T100013,U0145,GLOBEX,227.63,USD,2025-06-05,2025-06-06,settled,True,L7234408,T100013,U0145,227.63,USD,2025-06-07,Clearing,posted,True,both,False
T100013,U0145,GLOBEX,227.63,USD,2025-06-05,2025-06-06,settled,True,L7911855,T100013,U0145,227.63,USD,2025-06-07,Fees,posted,True,both,False
T100013,U0145,GLOBEX,227.63,USD,2025-06-05,2025-06-06,settled,True,L7234408,T100013,U0145,227.63,USD,2025-06-07,Clearing,posted,True,both,False
T100013,U0145,GLOBEX,227.63,USD,2025-06-05,2025-06-06,settled,True,L7911855,T100013,U0145,227.63,USD,2025-06-07,Fees,posted,True,both,False
T100030,U0189,WAYNE ENTERPRISES,165.55,USD,2025-05-25,2025-05-27,missing_test_only,False,,,,,,,,,,left_only,False
T100032,U0002,RELAY,86.5,USD,2025-05-09,2025-05-10,settled,True,L5791164,T100032,U0002,86.5,USD,2025-05-10,Cash,posted,True,both,False
T100032,U0002,RELAY,86.5,USD,2025-05-09,2025-05-10,settled,True,L9578845,T100032,U0002,86.5,USD,2025-05-11,Clearing,posted,True,both,False
T100032,U0002,RELAY,86.5,USD,2025-05-09,2025-05-10,settled,True,L5791164,T100032,U0002,86.5,USD,2025-05-10,Cash,posted,True,both,False
T100032,U0002,RELAY,86.5,USD,2025-05-09,2025-05-10,settled,True,L9578845,T100032,U0002,86.5,USD,2025-05-11,Clearing,posted,True,both,False
T100079,U0128,GLOBEX,458.03,USD,2025-06-01,2025-06-02,settled,False,L4887008,T100079,U0128,458.08,USD,2025-06-03,Fees,posted,False,both,False
T100107,U0144,HONEYBOOK,420.05,USD,2025-05-13,2025-05-14,missing_test_only,False,,,,,,,,,,left_only,False
T100108,U0136,GLOBEX,446.49,USD,2025-05-05,2025-05-05,settled,False,L1402980,T100108,U0136,446.54,USD,2025-05-05,Cash,posted,False,both,False
T100109,U0164,WIX,493.39,USD,2025-05-22,2025-05-22,missing_test_only,False,,,,,,,,,,left_only,False
T100128,U0145,BILL.COM,492.72,USD,2025-05-21,2025-05-22,settled,False,L2396436,T100128,U0145,492.72,USD,2025-05-22,Cash,posted,True,both,False
T100128,U0145,BILL.COM,492.72,USD,2025-05-21,2025-05-22,settled,False,L2396436,T100128,U0145,492.72,USD,2025-05-22,Cash,posted,True,both,False
T100138,U0144,BILL.COM,242.62,USD,2025-05-15,2025-05-15,settled,False,L4918949,T100138,U0144,242.62,USD,2025-05-18,Clearing,posted,False,both,False
T100140,U0191,STARK,490.33,USD,2025-06-03,2025-06-04,settled,False,L8563493,T100140,U0191,490.33,USD,2025-06-10,Cash,posted,False,both,False
T100153,U0046,ACME INC,345.45,USD,2025-05-30,2025-06-01,settled,False,L7850807,T100153,U0046,345.45,USD,2025-06-05,Clearing,posted,False,both,False
T100155,U0007,ACME INC,300.65,USD,2025-05-15,2025-05-17,settled,True,L8891784,T100155,U0007,300.65,USD,2025-05-17,Cash,posted,True,both,False
T100155,U0007,ACME INC,300.65,USD,2025-05-15,2025-05-17,settled,True,L3664749,T100155,U0007,300.65,USD,2025-05-17,Cash,posted,True,both,False
T100155,U0007,ACME INC,300.65,USD,2025-05-15,2025-05-17,settled,True,L8891784,T100155,U0007,300.65,USD,2025-05-17,Cash,posted,True,both,False
T100155,U0007,ACME INC,300.65,USD,2025-05-15,2025-05-17,settled,True,L3664749,T100155,U0007,300.65,USD,2025-05-17,Cash,posted,True,both,False
T100158,U0055,WAYNE ENTERPRISES,358.11,USD,2025-06-15,2025-06-17,missing_test_only,False,,,,,,,,,,left_only,False
T100196,U0042,WAYNE ENTERPRISES,176.12,USD,2025-05-10,2025-05-11,settled,False,,,,,,,,,,left_only,False
T100217,U0165,WAYNE ENTERPRISES,81.84,USD,2025-05-08,2025-05-08,settled,True,L5168773,T100217,U0165,81.84,USD,2025-05-08,Cash,posted,True,both,False
T100217,U0165,WAYNE ENTERPRISES,81.84,USD,2025-05-08,2025-05-08,settled,True,L9167707,T100217,U0165,81.84,USD,2025-05-09,Cash,posted,True,both,False
T100217,U0165,WAYNE ENTERPRISES,81.84,USD,2025-05-08,2025-05-08,settled,True,L5168773,T100217,U0165,81.84,USD,2025-05-08,Cash,posted,True,both,False
T100217,U0165,WAYNE ENTERPRISES,81.84,USD,2025-05-08,2025-05-08,settled,True,L9167707,T100217,U0165,81.84,USD,2025-05-09,Cash,posted,True,both,False
T100221,U0186,RELAY,14.76,USD,2025-06-26,2025-06-28,settled,True,L1239608,T100221,U0186,14.76,USD,2025-06-28,Clearing,posted,True,both,False
T100221,U0186,RELAY,14.76,USD,2025-06-26,2025-06-28,settled,True,L4800986,T100221,U0186,14.76,USD,2025-06-28,Clearing,posted,True,both,False
T100221,U0186,RELAY,14.76,USD,2025-06-26,2025-06-28,settled,True,L1239608,T100221,U0186,14.76,USD,2025-06-28,Clearing,posted,True,both,False
T100221,U0186,RELAY,14.76,USD,2025-06-26,2025-06-28,settled,True,L4800986,T100221,U0186,14.76,USD,2025-06-28,Clearing,posted,True,both,False
T100243,U0186,RELAY,307.15,USD,2025-06-03,2025-06-05,missing_test_only,False,,,,,,,,,,left_only,False
T100246,U0080,WIX,477.84,EUR,2025-05-09,2025-05-10,settled,False,L9354207,T100246,U0080,477.84,EUR,2025-05-16,Clearing,posted,False,both,False
T100249,U0130,GLOBEX,400.71,USD,2025-06-20,2025-06-21,settled,True,L9038762,T100249,U0130,400.71,USD,2025-06-21,Cash,posted,True,both,False
T100249,U0130,GLOBEX,400.71,USD,2025-06-20,2025-06-21,settled,True,L4278262,T100249,U0130,400.71,USD,2025-06-21,Clearing,posted,True,both,False
T100249,U0130,GLOBEX,400.71,USD,2025-06-20,2025-06-21,settled,True,L9038762,T100249,U0130,400.71,USD,2025-06-21,Cash,posted,True,both,False
T100249,U0130,GLOBEX,400.71,USD,2025-06-20,2025-06-21,settled,True,L4278262,T100249,U0130,400.71,USD,2025-06-21,Clearing,posted,True,both,False
T100262,U0014,BILL.COM,272.05,USD,2025-05-22,2025-05-22,settled,False,L2999482,T100262,U0014,272.05,USD,2025-05-23,Clearing,posted,True,both,False
T100262,U0014,BILL.COM,272.05,USD,2025-05-22,2025-05-22,settled,False,L2999482,T100262,U0014,272.05,USD,2025-05-23,Clearing,posted,True,both,False
T100267,U0061,HONEYBOOK,242.49,USD,2025-06-25,2025-06-27,settled,False,L1282140,T100267,U0061,242.49,USD,2025-07-03,Fees,posted,False,both,False
T100285,U0145,WIX,481.25,USD,2025-05-13,2025-05-13,settled,False,L3507743,T100285,U0145,481.25,USD,2025-05-17,Fees,posted,False,both,False
T100286,U0080,GLOBEX,250.1,EUR,2025-05-29,2025-05-31,settled,False,L5947796,T100286,U0080,250.15,EUR,2025-05-31,Cash,posted,False,both,False
T100293,U0157,RELAY,84.58,EUR,2025-05-02,2025-05-03,settled,True,L4146243,T100293,U0157,84.58,EUR,2025-05-04,Fees,posted,True,both,False
T100293,U0157,RELAY,84.58,EUR,2025-05-02,2025-05-03,settled,True,L8150406,T100293,U0157,84.58,EUR,2025-05-04,Cash,posted,True,both,False
T100293,U0157,RELAY,84.58,EUR,2025-05-02,2025-05-03,settled,True,L4146243,T100293,U0157,84.58,EUR,2025-05-04,Fees,posted,True,both,False
T100293,U0157,RELAY,84.58,EUR,2025-05-02,2025-05-03,settled,True,L8150406,T100293,U0157,84.58,EUR,2025-05-04,Cash,posted,True,both,False
T100295,U0045,WAYNE ENTERPRISES,490.69,USD,2025-06-09,2025-06-11,settled,False,L2807402,T100295,U0045,490.69,USD,2025-06-17,Fees,posted,False,both,False
T100306,U0028,HONEYBOOK,152.7,USD,2025-05-02,2025-05-04,settled,False,L7091111,T100306,U0028,152.7,USD,2025-05-10,Fees,posted,False,both,False
T100307,U0083,WIX,70.01,USD,2025-05-17,2025-05-18,settled,False,L8291916,T100307,U0083,70.01,USD,2025-05-23,Cash,posted,False,both,False
T100308,U0183,STARK,366.98,USD,2025-05-16,2025-05-16,settled,True,L8745269,T100308,U0183,366.98,USD,2025-05-16,Cash,posted,True,both,False
T100308,U0183,STARK,366.98,USD,2025-05-16,2025-05-16,settled,True,L6917054,T100308,U0183,366.98,USD,2025-05-17,Fees,posted,True,both,False
T100308,U0183,STARK,366.98,USD,2025-05-16,2025-05-16,settled,True,L8745269,T100308,U0183,366.98,USD,2025-05-16,Cash,posted,True,both,False
T100308,U0183,STARK,366.98,USD,2025-05-16,2025-05-16,settled,True,L6917054,T100308,U0183,366.98,USD,2025-05-17,Fees,posted,True,both,False
T100326,U0089,WIX,348.13,USD,2025-06-03,2025-06-04,settled,False,L5210583,T100326,U0089,348.13,USD,2025-06-04,Clearing,posted,True,both,False
T100326,U0089,WIX,348.13,USD,2025-06-03,2025-06-04,settled,False,L5210583,T100326,U0089,348.13,USD,2025-06-04,Clearing,posted,True,both,False
T100328,U0133,ACME INC,468.43,USD,2025-06-01,2025-06-01,settled,False,L9471414,T100328,U0133,468.43,USD,2025-06-04,Clearing,posted,True,both,False
T100328,U0133,ACME INC,468.43,USD,2025-06-01,2025-06-01,settled,False,L9471414,T100328,U0133,468.43,USD,2025-06-04,Clearing,posted,True,both,False
T100330,U0083,WIX,308.07,USD,2025-05-11,2025-05-12,missing_test_only,False,,,,,,,,,,left_only,False
T100356,U0188,STARK,138.53,USD,2025-05-09,2025-05-11,settled,False,L5642681,T100356,U0188,138.58,USD,2025-05-12,Cash,posted,False,both,False
T100377,U0034,STARK,12.26,USD,2025-06-04,2025-06-05,settled,False,L8115972,T100377,U0034,12.26,USD,2025-06-06,Cash,posted,True,both,False
T100377,U0034,STARK,12.26,USD,2025-06-04,2025-06-05,settled,False,L8115972,T100377,U0034,12.26,USD,2025-06-06,Cash,posted,True,both,False
