txn_id,user_id_p,merchant,amount_p,currency_p,created_at,settled_at,status_p,dup_flag_p,entry_id,external_id,user_id_l,amount_l,currency_l,posting_date,account,status_l,dup_flag_l,_merge,match_flag
T100000,U0102,STARK,475.6,USD,2025-05-21,2025-05-23,settled,False,L4651387,T100000,U0102,475.57,USD,2025-05-23,Cash,posted,False,both,True
T100002,U0099,BILL.COM,355.5,USD,2025-06-22,2025-06-23,settled,False,L1486799,T100002,U0099,355.5,USD,2025-06-23,Clearing,posted,False,both,True
T100003,U0087,STARK,469.58,USD,2025-06-29,2025-06-29,settled,False,L7558947,T100003,U0087,469.58,USD,2025-06-29,Fees,posted,False,both,True
T100004,U0160,STARK,307.77,USD,2025-06-18,2025-06-20,settled,False,L5034464,T100004,U0160,307.77,USD,2025-06-21,Fees,posted,False,both,True
T100005,U0058,RELAY,74.05,USD,2025-06-29,2025-07-01,settled,False,L7208714,T100005,U0058,74.05,USD,2025-07-01,Fees,posted,False,both,True
T100006,U0189,WIX,393.66,USD,2025-06-13,2025-06-15,settled,False,L2512760,T100006,U0189,393.66,USD,2025-06-15,Cash,posted,False,both,True
T100007,U0063,ACME INC,27.99,USD,2025-05-07,2025-05-07,settled,False,L1450930,T100007,U0063,27.99,USD,2025-05-08,Cash,posted,False,both,True
T100009,U0008,GLOBEX,53.35,USD,2025-05-28,2025-05-30,settled,False,L6403252,T100009,U0008,53.35,USD,2025-05-31,Fees,posted,False,both,True
T100010,U0187,RELAY,306.95,USD,2025-06-16,2025-06-18,settled,False,L1206487,T100010,U0187,306.95,USD,2025-06-18,Cash,posted,False,both,True
T100011,U0080,STARK,95.21,USD,2025-05-02,2025-05-03,settled,False,L4452501,T100011,U0080,95.21,USD,2025-05-04,Cash,posted,False,both,True
T100012,U0133,WIX,275.62,USD,2025-05-29,2025-05-31,settled,False,L8353172,T100012,U0133,275.62,USD,2025-06-01,Cash,posted,False,both,True
T100014,U0094,BILL.COM,166.64,USD,2025-05-23,2025-05-23,settled,False,L8370683,T100014,U0094,166.64,USD,2025-05-24,Fees,posted,False,both,True
T100015,U0189,BILL.COM,423.04,USD,2025-06-16,2025-06-16,settled,False,L4471750,T100015,U0189,423.04,USD,2025-06-17,Cash,posted,False,both,True
T100016,U0023,GLOBEX,482.8,USD,2025-06-29,2025-06-29,settled,False,L8543159,T100016,U0023,482.8,USD,2025-06-29,Cash,posted,False,both,True
T100017,U0040,HONEYBOOK,402.09,USD,2025-05-25,2025-05-27,settled,False,L9678376,T100017,U0040,402.09,USD,2025-05-28,Clearing,posted,False,both,True
T100018,U0008,BILL.COM,200.47,USD,2025-05-24,2025-05-26,settled,False,L6071915,T100018,U0008,200.47,USD,2025-05-26,Cash,posted,False,both,True
T100019,U0138,WAYNE ENTERPRISES,354.89,USD,2025-06-04,2025-06-04,settled,False,L8690840,T100019,U0138,354.89,USD,2025-06-04,Fees,posted,False,both,True
T100020,U0122,HONEYBOOK,463.52,USD,2025-05-28,2025-05-30,settled,False,L2228807,T100020,U0122,463.52,USD,2025-05-30,Cash,posted,False,both,True
T100021,U0071,STARK,168.79,USD,2025-06-24,2025-06-26,settled,False,L3269070,T100021,U0071,168.79,USD,2025-06-26,Clearing,posted,False,both,True
T100022,U0061,BILL.COM,334.63,USD,2025-06-09,2025-06-10,settled,False,L9468865,T100022,U0061,334.63,USD,2025-06-11,Fees,posted,False,both,True
T100023,U0034,ACME INC,194.55,USD,2025-05-14,2025-05-16,settled,False,L1371616,T100023,U0034,194.55,USD,2025-05-16,Cash,posted,False,both,True
T100024,U0000,HONEYBOOK,282.83,USD,2025-06-08,2025-06-10,settled,False,L3843236,T100024,U0000,282.83,USD,2025-06-11,Clearing,posted,False,both,True
T100025,U0136,RELAY,216.63,USD,2025-06-29,2025-06-29,settled,False,L7223754,T100025,U0136,216.63,USD,2025-06-30,Clearing,posted,False,both,True
T100026,U0178,RELAY,448.4,USD,2025-06-01,2025-06-02,settled,False,L8983372,T100026,U0178,448.4,USD,2025-06-02,Clearing,posted,False,both,True
T100027,U0150,RELAY,208.14,USD,2025-05-29,2025-05-29,settled,False,L4952255,T100027,U0150,208.14,USD,2025-05-30,Fees,posted,False,both,True
T100028,U0159,RELAY,148.43,USD,2025-05-28,2025-05-29,settled,False,L6504381,T100028,U0159,148.43,USD,2025-05-29,Clearing,posted,False,both,True
T100029,U0169,HONEYBOOK,151.34,USD,2025-05-28,2025-05-29,settled,False,L2027557,T100029,U0169,151.34,USD,2025-05-29,Clearing,posted,False,both,True
T100031,U0189,ACME INC,139.71,USD,2025-06-26,2025-06-26,settled,False,L6688238,T100031,U0189,139.71,USD,2025-06-27,Cash,posted,False,both,True
T100033,U0164,ACME INC,64.33,USD,2025-05-24,2025-05-26,settled,False,L7841300,T100033,U0164,64.33,USD,2025-05-27,Fees,posted,False,both,True
T100034,U0058,WIX,113.29,USD,2025-06-10,2025-06-10,settled,False,L3131018,T100034,U0058,113.29,USD,2025-06-10,Cash,posted,False,both,True
T100035,U0061,ACME INC,130.69,USD,2025-06-08,2025-06-09,settled,False,L1294746,T100035,U0061,130.69,USD,2025-06-10,Fees,posted,False,both,True
T100036,U0130,ACME INC,78.3,USD,2025-05-17,2025-05-19,settled,False,L9512558,T100036,U0130,78.3,USD,2025-05-19,Fees,posted,False,both,True
T100037,U0112,GLOBEX,253.83,USD,2025-05-23,2025-05-23,settled,False,L9299350,T100037,U0112,253.83,USD,2025-05-24,Fees,posted,False,both,True
T100038,U0128,WAYNE ENTERPRISES,341.95,USD,2025-06-13,2025-06-14,settled,False,L8331006,T100038,U0128,341.95,USD,2025-06-15,Cash,posted,False,both,True
T100039,U0159,WIX,124.82,USD,2025-06-24,2025-06-26,settled,False,L6429219,T100039,U0159,124.82,USD,2025-06-26,Cash,posted,False,both,True
T100040,U0183,WAYNE ENTERPRISES,124.87,USD,2025-05-24,2025-05-24,settled,False,L5058848,T100040,U0183,124.87,USD,2025-05-24,Clearing,posted,False,both,True
T100041,U0115,GLOBEX,318.6,USD,2025-06-17,2025-06-17,settled,False,L3562605,T100041,U0115,318.6,USD,2025-06-17,Clearing,posted,False,both,True
T100042,U0123,WAYNE ENTERPRISES,97.33,USD,2025-05-03,2025-05-05,settled,False,L2021469,T100042,U0123,97.33,USD,2025-05-05,Fees,posted,False,both,True
